State,County,Rank,Physically Unhealthy Days,Primary Care Physicians,Mentally Unhealthy Days,Mental Health Providers,Dentists,Smokers,Obese,Physically Inactive,Access to  exercise opportunity,Excessive Drinking,Associations,Average Daily PM2.5,Workers who Drive Alone,Severe Housing Problems,Preventable Hos Stay,Diabetics,PCP Ratio
Alabama,Autauga,11,4.2,2,4.3,3,2,19,36,31,71,17,77,3,41,15,82,3,2214:01:00
Alabama,Baldwin,3,4.1,1,4.2,1,1,17,29,25,69,17,225,1,40,14,46,3,1376:01:00
Alabama,Barbour,34,5.1,3,4.6,4,2,22,44,31,53,13,21,2,35,15,58,1,2408:01:00
Alabama,Bibb,41,4.4,2,4.3,4,3,20,38,38,49,16,24,3,49,12,93,4,1882:01:00
Alabama,Blount,14,4.5,4,4.7,4,3,20,36,29,32,15,51,4,60,11,58,1,4806:01:00
Alabama,Bullock,59,5.2,4,4.8,4,3,23,40,30,22,13,10,2,38,18,67,2,3565:01:00
Alabama,Butler,57,5.1,3,5.1,3,2,22,36,34,46,13,22,1,32,15,93,4,2879:01:00
Alabama,Calhoun,29,4.3,1,4.5,1,1,20,36,33,48,15,162,4,29,15,73,4,1542:01:00
Alabama,Chambers,48,5,2,4.9,4,3,22,38,33,63,14,62,3,33,18,62,3,2133:01:00
Alabama,Cherokee,35,4.3,3,4.7,3,4,19,36,36,36,15,26,3,46,16,77,1,2586:01:00
Alabama,Chilton,38,4.7,4,4.6,2,3,20,36,30,46,15,73,3,48,15,65,1,5493:01:00
Alabama,Choctaw,50,4.7,3,4.8,2,1,19,40,33,27,13,27,1,46,13,65,3,2634:01:00
Alabama,Clarke,45,5,1,4.8,2,2,21,38,29,48,13,47,1,35,13,63,4,1763:01:00
Alabama,Clay,22,4.5,3,4.6,4,4,19,38,32,46,15,15,2,38,16,57,1,3389:01:00
Alabama,Cleburne,27,4.4,4,4.6,2,4,20,35,32,46,16,15,3,50,13,68,3,3755:01:00
Alabama,Coffee,6,4.5,1,4.6,2,2,18,34,30,45,16,82,1,23,14,53,1,1766:01:00
Alabama,Colbert,24,4.3,1,4.5,3,1,18,35,31,65,16,99,3,26,16,75,2,1599:01:00
Alabama,Conecuh,60,5.6,3,5.3,2,4,23,38,31,37,11,12,1,39,19,140,4,2534:01:00
Alabama,Coosa,44,4.8,2,4.7,4,2,21,40,30,11,14,11,3,40,18,72,2,1599:01:00
Alabama,Covington,36,4.8,2,4.8,2,1,21,34,31,62,15,50,1,27,15,94,4,1991:01:00
Alabama,Crenshaw,17,4.6,4,4.7,2,4,20,40,30,22,14,15,1,43,11,73,4,6982:01:00
Alabama,Cullman,19,4.5,2,4.8,1,1,20,35,29,55,16,99,4,36,15,59,1,1822:01:00
Alabama,Dale,7,4.7,4,4.4,1,2,19,37,29,60,14,58,2,26,14,54,1,4506:01:00
Alabama,Dallas,61,5.1,1,5.1,2,2,22,42,30,55,12,56,2,27,24,64,4,1418:01:00
Alabama,DeKalb,18,4.5,3,4.7,3,2,22,31,32,48,15,66,3,31,14,69,1,2453:01:00
Alabama,Elmore,9,4.2,4,4.4,4,4,19,37,30,54,17,85,4,46,11,64,2,3395:01:00
Alabama,Escambia,40,4.9,3,4.7,2,2,21,39,32,51,13,55,1,29,13,96,4,2519:01:00
Alabama,Etowah,43,5,1,4.9,1,1,23,37,34,44,14,161,4,28,13,81,4,1227:01:00
Alabama,Fayette,23,4.6,1,4.6,3,2,20,36,37,46,15,19,2,36,11,86,4,986:01:00
Alabama,Franklin,46,4.7,2,4.9,4,3,21,33,38,47,15,32,2,34,14,109,3,2113:01:00
Alabama,Geneva,26,4.9,4,4.9,3,4,22,37,29,28,15,23,1,45,12,82,2,3825:01:00
Alabama,Greene,66,5.6,1,5.3,4,4,24,42,32,6,10,10,1,51,15,75,2,1696:01:00
Alabama,Hale,54,5.2,4,5,4,4,22,41,34,30,13,9,2,45,20,72,3,5023:01:00
Alabama,Henry,10,4.6,4,4.5,3,2,20,38,31,49,14,28,1,36,11,38,2,3444:01:00
Alabama,Houston,16,4.8,1,4.4,1,1,22,33,29,65,16,133,1,28,14,48,2,1085:01:00
Alabama,Jackson,39,4.6,2,4.8,2,2,22,37,32,47,15,47,3,38,11,83,1,1808:01:00
Alabama,Jefferson,21,4,1,4.3,1,1,18,33,28,82,16,952,4,32,18,44,2,943:01:00
Alabama,Lamar,37,4.9,2,5,3,3,21,34,34,18,14,12,1,37,13,77,3,1599:01:00
Alabama,Lauderdale,13,4.3,2,4.5,1,1,19,35,31,56,15,139,3,30,14,65,2,1816:01:00
